title,type,year,genre,idOwner
Doctor Blood's Coffin,Movie,1961,Thriller,tt0054823
Five Minutes to Live,Movie,1961,Thriller,tt0054817
Spel om een Miljoen,Movie,1961,Thriller,tt0054731
Los jóvenes,Movie,1961,Thriller,tt0053979
Flucht nach Berlin,Movie,1961,Thriller,tt0053829
Me faire ça à moi,Movie,1961,Thriller,tt0054071
Caccia all'uomo,Movie,1961,Thriller,tt0054712
La maldición de Nostradamus,Movie,1961,Thriller,tt0054054
The Cat Burglar,Movie,1961,Thriller,tt0054733
Bloodlust!,Movie,1961,Thriller,tt0054691
Doctor Blood's Coffin,Movie,1961,Thriller,tt0054823
Five Minutes to Live,Movie,1961,Thriller,tt0054817
Spel om een Miljoen,Movie,1961,Thriller,tt0054731
Los autómatas de la muerte,Movie,1962,Thriller,tt0053615
La mentira tiene cabellos rojos,Movie,1962,Thriller,tt0054078
Il criminale,Movie,1962,Thriller,tt0054401
Le doulos,Movie,1962,Thriller,tt0054821
El barón del terror,Movie,1962,Thriller,tt0054668
Bees Saal Baad,Movie,1962,Thriller,tt0055783
Het Geheim van de Zwarte Koffer,Movie,1962,Thriller,tt0054913
Cape Fear,Movie,1962,Thriller,tt0055824
Dangerous Charter,Movie,1962,Thriller,tt0055887
Das Halstuch,TV Mini Series,1962,Thriller,tt0055677
Los autómatas de la muerte,Movie,1962,Thriller,tt0053615
La mentira tiene cabellos rojos,Movie,1962,Thriller,tt0054078
Il criminale,Movie,1962,Thriller,tt0054401
Le doulos,Movie,1962,Thriller,tt0054821
El barón del terror,Movie,1962,Thriller,tt0054668
Bees Saal Baad,Movie,1962,Thriller,tt0055783
Het Geheim van de Zwarte Koffer,Movie,1962,Thriller,tt0054913
Cape Fear,Movie,1962,Thriller,tt0055824
Dangerous Charter,Movie,1962,Thriller,tt0055887
Das Halstuch,TV Mini Series,1962,Thriller,tt0055677
Los autómatas de la muerte,Movie,1962,Thriller,tt0053615
La mentira tiene cabellos rojos,Movie,1962,Thriller,tt0054078
Il criminale,Movie,1962,Thriller,tt0054401
Le doulos,Movie,1962,Thriller,tt0054821
El barón del terror,Movie,1962,Thriller,tt0054668
Bees Saal Baad,Movie,1962,Thriller,tt0055783
Het Geheim van de Zwarte Koffer,Movie,1962,Thriller,tt0054913
Cape Fear,Movie,1962,Thriller,tt0055824
Dangerous Charter,Movie,1962,Thriller,tt0055887
Das Halstuch,TV Mini Series,1962,Thriller,tt0055677
Los autómatas de la muerte,Movie,1962,Thriller,tt0053615
La mentira tiene cabellos rojos,Movie,1962,Thriller,tt0054078
Il criminale,Movie,1962,Thriller,tt0054401
Le doulos,Movie,1962,Thriller,tt0054821
El barón del terror,Movie,1962,Thriller,tt0054668
Bees Saal Baad,Movie,1962,Thriller,tt0055783
Het Geheim van de Zwarte Koffer,Movie,1962,Thriller,tt0054913
Cape Fear,Movie,1962,Thriller,tt0055824
Dangerous Charter,Movie,1962,Thriller,tt0055887
Das Halstuch,TV Mini Series,1962,Thriller,tt0055677
La casa de los espantos,Movie,1963,Thriller,tt0054730
Streng geheim,Movie,1963,Thriller,tt0054887
Le concerto de la peur,Movie,1963,Thriller,tt0055863
La maldición de la Llorona,Movie,1963,Thriller,tt0055128
La invasión de los vampiros,Movie,1963,Thriller,tt0055021
Rififí en la ciudad,Movie,1963,Thriller,tt0056925
Tim Frazer,TV Series,1963,Thriller,tt0056790
Charade,Movie,1963,Thriller,tt0056923
Mujhe Jeene Do,Movie,1963,Thriller,tt0057332
From Russia with Love,Movie,1963,Thriller,tt0057076
La casa de los espantos,Movie,1963,Thriller,tt0054730
Streng geheim,Movie,1963,Thriller,tt0054887
Le concerto de la peur,Movie,1963,Thriller,tt0055863
La maldición de la Llorona,Movie,1963,Thriller,tt0055128
La invasión de los vampiros,Movie,1963,Thriller,tt0055021
Rififí en la ciudad,Movie,1963,Thriller,tt0056925
Tim Frazer,TV Series,1963,Thriller,tt0056790
Charade,Movie,1963,Thriller,tt0056923
Mujhe Jeene Do,Movie,1963,Thriller,tt0057332
From Russia with Love,Movie,1963,Thriller,tt0057076
La casa de los espantos,Movie,1963,Thriller,tt0054730
Streng geheim,Movie,1963,Thriller,tt0054887
Le concerto de la peur,Movie,1963,Thriller,tt0055863
La maldición de la Llorona,Movie,1963,Thriller,tt0055128
La invasión de los vampiros,Movie,1963,Thriller,tt0055021
Rififí en la ciudad,Movie,1963,Thriller,tt0056925
Tim Frazer,TV Series,1963,Thriller,tt0056790
Charade,Movie,1963,Thriller,tt0056923
Mujhe Jeene Do,Movie,1963,Thriller,tt0057332
From Russia with Love,Movie,1963,Thriller,tt0057076
La casa de los espantos,Movie,1963,Thriller,tt0054730
Streng geheim,Movie,1963,Thriller,tt0054887
Le concerto de la peur,Movie,1963,Thriller,tt0055863
La maldición de la Llorona,Movie,1963,Thriller,tt0055128
La invasión de los vampiros,Movie,1963,Thriller,tt0055021
Rififí en la ciudad,Movie,1963,Thriller,tt0056925
Tim Frazer,TV Series,1963,Thriller,tt0056790
Charade,Movie,1963,Thriller,tt0056923
Mujhe Jeene Do,Movie,1963,Thriller,tt0057332
From Russia with Love,Movie,1963,Thriller,tt0057076
The Secret Door,Movie,1964,Thriller,tt0056459
Ella y el miedo,Movie,1964,Thriller,tt0055953
The Sicilians,Movie,1964,Thriller,tt0057498
Fuego,Movie,1964,Thriller,tt0057082
Che fine ha fatto Totò baby?,Movie,1964,Thriller,tt0057938
Suspense,TV Series,1964,Thriller,tt0057788
Il castello dei morti vivi,Movie,1964,Thriller,tt0057924
Cadavere per signora,Movie,1964,Thriller,tt0057908
De piraten van Diablo,Movie,1964,Thriller,tt0058011
Døden kommer til middag,Movie,1964,Thriller,tt0058049
The Secret Door,Movie,1964,Thriller,tt0056459
Ella y el miedo,Movie,1964,Thriller,tt0055953
The Sicilians,Movie,1964,Thriller,tt0057498
Fuego,Movie,1964,Thriller,tt0057082
Che fine ha fatto Totò baby?,Movie,1964,Thriller,tt0057938
Suspense,TV Series,1964,Thriller,tt0057788
Il castello dei morti vivi,Movie,1964,Thriller,tt0057924
Cadavere per signora,Movie,1964,Thriller,tt0057908
De piraten van Diablo,Movie,1964,Thriller,tt0058011
Døden kommer til middag,Movie,1964,Thriller,tt0058049
The Secret Door,Movie,1964,Thriller,tt0056459
Ella y el miedo,Movie,1964,Thriller,tt0055953
The Sicilians,Movie,1964,Thriller,tt0057498
Fuego,Movie,1964,Thriller,tt0057082
Che fine ha fatto Totò baby?,Movie,1964,Thriller,tt0057938
Suspense,TV Series,1964,Thriller,tt0057788
Il castello dei morti vivi,Movie,1964,Thriller,tt0057924
Cadavere per signora,Movie,1964,Thriller,tt0057908
De piraten van Diablo,Movie,1964,Thriller,tt0058011
Døden kommer til middag,Movie,1964,Thriller,tt0058049
The Secret Door,Movie,1964,Thriller,tt0056459
Ella y el miedo,Movie,1964,Thriller,tt0055953
The Sicilians,Movie,1964,Thriller,tt0057498
Fuego,Movie,1964,Thriller,tt0057082
Che fine ha fatto Totò baby?,Movie,1964,Thriller,tt0057938
Suspense,TV Series,1964,Thriller,tt0057788
Il castello dei morti vivi,Movie,1964,Thriller,tt0057924
Cadavere per signora,Movie,1964,Thriller,tt0057908
De piraten van Diablo,Movie,1964,Thriller,tt0058011
Døden kommer til middag,Movie,1964,Thriller,tt0058049
Un hombre en la trampa,Movie,1965,Thriller,tt0057148
Il segreto del vestito rosso,Movie,1965,Thriller,tt0057485
Het mysterie van de koffermoord,Movie,1965,Thriller,tt0057926
Cien gritos de terror,Movie,1965,Thriller,tt0057948
Crimen de doble filo,Movie,1965,Thriller,tt0057972
El asesino invisible,Movie,1965,Thriller,tt0057857
Hysteria,Movie,1965,Thriller,tt0058216
Mr. Solo contra Mr. Solo,Movie,1965,Thriller,tt0058610
Muere una mujer,Movie,1965,Thriller,tt0058381
A 001: operazione Giamaica,Movie,1965,Thriller,tt0058865
Un hombre en la trampa,Movie,1965,Thriller,tt0057148
Il segreto del vestito rosso,Movie,1965,Thriller,tt0057485
Het mysterie van de koffermoord,Movie,1965,Thriller,tt0057926
Cien gritos de terror,Movie,1965,Thriller,tt0057948
Crimen de doble filo,Movie,1965,Thriller,tt0057972
El asesino invisible,Movie,1965,Thriller,tt0057857
Hysteria,Movie,1965,Thriller,tt0058216
Mr. Solo contra Mr. Solo,Movie,1965,Thriller,tt0058610
Muere una mujer,Movie,1965,Thriller,tt0058381
A 001: operazione Giamaica,Movie,1965,Thriller,tt0058865
Un hombre en la trampa,Movie,1965,Thriller,tt0057148
Il segreto del vestito rosso,Movie,1965,Thriller,tt0057485
Het mysterie van de koffermoord,Movie,1965,Thriller,tt0057926
Cien gritos de terror,Movie,1965,Thriller,tt0057948
Crimen de doble filo,Movie,1965,Thriller,tt0057972
El asesino invisible,Movie,1965,Thriller,tt0057857
Hysteria,Movie,1965,Thriller,tt0058216
Mr. Solo contra Mr. Solo,Movie,1965,Thriller,tt0058610
Muere una mujer,Movie,1965,Thriller,tt0058381
A 001: operazione Giamaica,Movie,1965,Thriller,tt0058865
Un hombre en la trampa,Movie,1965,Thriller,tt0057148
Il segreto del vestito rosso,Movie,1965,Thriller,tt0057485
Het mysterie van de koffermoord,Movie,1965,Thriller,tt0057926
Cien gritos de terror,Movie,1965,Thriller,tt0057948
Crimen de doble filo,Movie,1965,Thriller,tt0057972
El asesino invisible,Movie,1965,Thriller,tt0057857
Hysteria,Movie,1965,Thriller,tt0058216
Mr. Solo contra Mr. Solo,Movie,1965,Thriller,tt0058610
Muere una mujer,Movie,1965,Thriller,tt0058381
A 001: operazione Giamaica,Movie,1965,Thriller,tt0058865
El misterioso señor Van Eyck,Movie,1966,Thriller,tt0058359
Agent 505 - Todesfalle Beirut,Movie,1966,Thriller,tt0058878
Mission: Impossible,TV Series,1966,Thriller,tt0060009
10.32,Movie,1966,Thriller,tt0060044
Cargamento prohibido,Movie,1966,Thriller,tt0059013
Requiem per un agente segreto,Movie,1966,Thriller,tt0059648
Dark Shadows,TV Series,1966,Thriller,tt0059978
Agente Logan - missione Ypotron,Movie,1966,Thriller,tt0059935
A... come assassino,Movie,1966,Thriller,tt0060052
Spionen sterven op straat,Movie,1966,Thriller,tt0060295
El misterioso señor Van Eyck,Movie,1966,Thriller,tt0058359
Agent 505 - Todesfalle Beirut,Movie,1966,Thriller,tt0058878
Mission: Impossible,TV Series,1966,Thriller,tt0060009
10.32,Movie,1966,Thriller,tt0060044
Cargamento prohibido,Movie,1966,Thriller,tt0059013
Requiem per un agente segreto,Movie,1966,Thriller,tt0059648
Dark Shadows,TV Series,1966,Thriller,tt0059978
Agente Logan - missione Ypotron,Movie,1966,Thriller,tt0059935
A... come assassino,Movie,1966,Thriller,tt0060052
Spionen sterven op straat,Movie,1966,Thriller,tt0060295
El misterioso señor Van Eyck,Movie,1966,Thriller,tt0058359
Agent 505 - Todesfalle Beirut,Movie,1966,Thriller,tt0058878
Mission: Impossible,TV Series,1966,Thriller,tt0060009
10.32,Movie,1966,Thriller,tt0060044
Cargamento prohibido,Movie,1966,Thriller,tt0059013
Requiem per un agente segreto,Movie,1966,Thriller,tt0059648
Dark Shadows,TV Series,1966,Thriller,tt0059978
Agente Logan - missione Ypotron,Movie,1966,Thriller,tt0059935
A... come assassino,Movie,1966,Thriller,tt0060052
Spionen sterven op straat,Movie,1966,Thriller,tt0060295
El misterioso señor Van Eyck,Movie,1966,Thriller,tt0058359
Agent 505 - Todesfalle Beirut,Movie,1966,Thriller,tt0058878
Mission: Impossible,TV Series,1966,Thriller,tt0060009
10.32,Movie,1966,Thriller,tt0060044
Cargamento prohibido,Movie,1966,Thriller,tt0059013
Requiem per un agente segreto,Movie,1966,Thriller,tt0059648
Dark Shadows,TV Series,1966,Thriller,tt0059978
Agente Logan - missione Ypotron,Movie,1966,Thriller,tt0059935
A... come assassino,Movie,1966,Thriller,tt0060052
Spionen sterven op straat,Movie,1966,Thriller,tt0060295
El barón Brakola,Movie,1967,Thriller,tt0056855
Captain Scarlet and the Mysterons,TV Series,1967,Thriller,tt0059973
Almaas 33,Movie,1967,Thriller,tt0060093
Coplan ouvre le feu à Mexico,Movie,1967,Thriller,tt0060374
El asesino se embarca,Movie,1967,Thriller,tt0060134
Operação Dinamite,Movie,1967,Thriller,tt0060796
Le scandale,Movie,1967,Thriller,tt0060944
Domingo salvaje,Movie,1967,Thriller,tt0060326
Matchless,Movie,1967,Thriller,tt0060676
Mooi.... maar slecht,Movie,1967,Thriller,tt0060288
El barón Brakola,Movie,1967,Thriller,tt0056855
Captain Scarlet and the Mysterons,TV Series,1967,Thriller,tt0059973
Almaas 33,Movie,1967,Thriller,tt0060093
Coplan ouvre le feu à Mexico,Movie,1967,Thriller,tt0060374
El asesino se embarca,Movie,1967,Thriller,tt0060134
Operação Dinamite,Movie,1967,Thriller,tt0060796
Le scandale,Movie,1967,Thriller,tt0060944
Domingo salvaje,Movie,1967,Thriller,tt0060326
Matchless,Movie,1967,Thriller,tt0060676
Mooi.... maar slecht,Movie,1967,Thriller,tt0060288
El barón Brakola,Movie,1967,Thriller,tt0056855
Captain Scarlet and the Mysterons,TV Series,1967,Thriller,tt0059973
Almaas 33,Movie,1967,Thriller,tt0060093
Coplan ouvre le feu à Mexico,Movie,1967,Thriller,tt0060374
El asesino se embarca,Movie,1967,Thriller,tt0060134
Operação Dinamite,Movie,1967,Thriller,tt0060796
Le scandale,Movie,1967,Thriller,tt0060944
Domingo salvaje,Movie,1967,Thriller,tt0060326
Matchless,Movie,1967,Thriller,tt0060676
Mooi.... maar slecht,Movie,1967,Thriller,tt0060288
El barón Brakola,Movie,1967,Thriller,tt0056855
Captain Scarlet and the Mysterons,TV Series,1967,Thriller,tt0059973
Almaas 33,Movie,1967,Thriller,tt0060093
Coplan ouvre le feu à Mexico,Movie,1967,Thriller,tt0060374
El asesino se embarca,Movie,1967,Thriller,tt0060134
Operação Dinamite,Movie,1967,Thriller,tt0060796
Le scandale,Movie,1967,Thriller,tt0060944
Domingo salvaje,Movie,1967,Thriller,tt0060326
Matchless,Movie,1967,Thriller,tt0060676
Mooi.... maar slecht,Movie,1967,Thriller,tt0060288
Atacan las brujas,Movie,1968,Thriller,tt0057858
The Chinese Room,Movie,1968,Thriller,tt0060265
Arañas infernales,Movie,1968,Thriller,tt0060226
Koroshi,TV Movie,1968,Thriller,tt0060605
Il marchio di Kriminal,Movie,1968,Thriller,tt0061952
A Man Called Dagger,Movie,1968,Thriller,tt0061946
"Killer, adios",Movie,1968,Thriller,tt0061864
To syrtaki tis amartias,Movie,1968,Thriller,tt0061054
Agonizando en el crimen,Movie,1968,Thriller,tt0061340
Blue Demon contra cerebros infernales,Movie,1968,Thriller,tt0061459
Atacan las brujas,Movie,1968,Thriller,tt0057858
The Chinese Room,Movie,1968,Thriller,tt0060265
Arañas infernales,Movie,1968,Thriller,tt0060226
Koroshi,TV Movie,1968,Thriller,tt0060605
Il marchio di Kriminal,Movie,1968,Thriller,tt0061952
A Man Called Dagger,Movie,1968,Thriller,tt0061946
"Killer, adios",Movie,1968,Thriller,tt0061864
To syrtaki tis amartias,Movie,1968,Thriller,tt0061054
Agonizando en el crimen,Movie,1968,Thriller,tt0061340
Blue Demon contra cerebros infernales,Movie,1968,Thriller,tt0061459
Atacan las brujas,Movie,1968,Thriller,tt0057858
The Chinese Room,Movie,1968,Thriller,tt0060265
Arañas infernales,Movie,1968,Thriller,tt0060226
Koroshi,TV Movie,1968,Thriller,tt0060605
Il marchio di Kriminal,Movie,1968,Thriller,tt0061952
A Man Called Dagger,Movie,1968,Thriller,tt0061946
"Killer, adios",Movie,1968,Thriller,tt0061864
To syrtaki tis amartias,Movie,1968,Thriller,tt0061054
Agonizando en el crimen,Movie,1968,Thriller,tt0061340
Blue Demon contra cerebros infernales,Movie,1968,Thriller,tt0061459
Atacan las brujas,Movie,1968,Thriller,tt0057858
The Chinese Room,Movie,1968,Thriller,tt0060265
Arañas infernales,Movie,1968,Thriller,tt0060226
Koroshi,TV Movie,1968,Thriller,tt0060605
Il marchio di Kriminal,Movie,1968,Thriller,tt0061952
A Man Called Dagger,Movie,1968,Thriller,tt0061946
"Killer, adios",Movie,1968,Thriller,tt0061864
To syrtaki tis amartias,Movie,1968,Thriller,tt0061054
Agonizando en el crimen,Movie,1968,Thriller,tt0061340
Blue Demon contra cerebros infernales,Movie,1968,Thriller,tt0061459
Big Daddy,Movie,1969,Thriller,tt0058968
In the Year 2889,TV Movie,1969,Thriller,tt0060536
"Rote Lippen, Sadisterotica",Movie,1969,Thriller,tt0061453
"Küss mich, Monster",Movie,1969,Thriller,tt0061432
Ditirambo,Movie,1969,Thriller,tt0061580
La señora Muerte,Movie,1969,Thriller,tt0062255
Viaje al vacío,Movie,1969,Thriller,tt0062438
Salto mortale,TV Series,1969,Thriller,tt0062602
"Bye bye, Barbara",Movie,1969,Thriller,tt0062769
Las crueles,Movie,1969,Thriller,tt0062836
Big Daddy,Movie,1969,Thriller,tt0058968
In the Year 2889,TV Movie,1969,Thriller,tt0060536
"Rote Lippen, Sadisterotica",Movie,1969,Thriller,tt0061453
"Küss mich, Monster",Movie,1969,Thriller,tt0061432
Ditirambo,Movie,1969,Thriller,tt0061580
La señora Muerte,Movie,1969,Thriller,tt0062255
Viaje al vacío,Movie,1969,Thriller,tt0062438
Salto mortale,TV Series,1969,Thriller,tt0062602
"Bye bye, Barbara",Movie,1969,Thriller,tt0062769
Las crueles,Movie,1969,Thriller,tt0062836
Big Daddy,Movie,1969,Thriller,tt0058968
In the Year 2889,TV Movie,1969,Thriller,tt0060536
"Rote Lippen, Sadisterotica",Movie,1969,Thriller,tt0061453
"Küss mich, Monster",Movie,1969,Thriller,tt0061432
Ditirambo,Movie,1969,Thriller,tt0061580
La señora Muerte,Movie,1969,Thriller,tt0062255
Viaje al vacío,Movie,1969,Thriller,tt0062438
Salto mortale,TV Series,1969,Thriller,tt0062602
"Bye bye, Barbara",Movie,1969,Thriller,tt0062769
Las crueles,Movie,1969,Thriller,tt0062836
Big Daddy,Movie,1969,Thriller,tt0058968
In the Year 2889,TV Movie,1969,Thriller,tt0060536
"Rote Lippen, Sadisterotica",Movie,1969,Thriller,tt0061453
"Küss mich, Monster",Movie,1969,Thriller,tt0061432
Ditirambo,Movie,1969,Thriller,tt0061580
La señora Muerte,Movie,1969,Thriller,tt0062255
Viaje al vacío,Movie,1969,Thriller,tt0062438
Salto mortale,TV Series,1969,Thriller,tt0062602
"Bye bye, Barbara",Movie,1969,Thriller,tt0062769
Las crueles,Movie,1969,Thriller,tt0062836
El coleccionista de cadáveres,Movie,1970,Thriller,tt0061494
Misión cumplida,Movie,1970,Thriller,tt0063309
Tiger by the Tail,Movie,1970,Thriller,tt0063696
Het Speelgoed van de Duivel,Movie,1970,Thriller,tt0064126
Savage Intruder,Movie,1970,Thriller,tt0063552
Le boucher,Movie,1970,Thriller,tt0064106
Colossus: The Forbin Project,Movie,1970,Thriller,tt0064177
Helena y Fernanda,Movie,1970,Thriller,tt0064413
Dernier domicile connu,Movie,1970,Thriller,tt0064225
Docteur Caraïbes,Movie,1970,Thriller,tt0064630
El coleccionista de cadáveres,Movie,1970,Thriller,tt0061494
Misión cumplida,Movie,1970,Thriller,tt0063309
Tiger by the Tail,Movie,1970,Thriller,tt0063696
Het Speelgoed van de Duivel,Movie,1970,Thriller,tt0064126
Savage Intruder,Movie,1970,Thriller,tt0063552
Le boucher,Movie,1970,Thriller,tt0064106
Colossus: The Forbin Project,Movie,1970,Thriller,tt0064177
Helena y Fernanda,Movie,1970,Thriller,tt0064413
Dernier domicile connu,Movie,1970,Thriller,tt0064225
Docteur Caraïbes,Movie,1970,Thriller,tt0064630
El coleccionista de cadáveres,Movie,1970,Thriller,tt0061494
Misión cumplida,Movie,1970,Thriller,tt0063309
Tiger by the Tail,Movie,1970,Thriller,tt0063696
Het Speelgoed van de Duivel,Movie,1970,Thriller,tt0064126
Savage Intruder,Movie,1970,Thriller,tt0063552
Le boucher,Movie,1970,Thriller,tt0064106
Colossus: The Forbin Project,Movie,1970,Thriller,tt0064177
Helena y Fernanda,Movie,1970,Thriller,tt0064413
Dernier domicile connu,Movie,1970,Thriller,tt0064225
Docteur Caraïbes,Movie,1970,Thriller,tt0064630
El coleccionista de cadáveres,Movie,1970,Thriller,tt0061494
Misión cumplida,Movie,1970,Thriller,tt0063309
Tiger by the Tail,Movie,1970,Thriller,tt0063696
Het Speelgoed van de Duivel,Movie,1970,Thriller,tt0064126
Savage Intruder,Movie,1970,Thriller,tt0063552
Le boucher,Movie,1970,Thriller,tt0064106
Colossus: The Forbin Project,Movie,1970,Thriller,tt0064177
Helena y Fernanda,Movie,1970,Thriller,tt0064413
Dernier domicile connu,Movie,1970,Thriller,tt0064225
Docteur Caraïbes,Movie,1970,Thriller,tt0064630
Santo contra los cazadores de cabezas,Movie,1971,Thriller,tt0060939
Love Toy,Movie,1971,Thriller,tt0063244
Exklusiv!,TV Episode,1971,Thriller,tt0064304
Xia nü,Movie,1971,Thriller,tt0064451
Senza via d'uscita,Movie,1971,Thriller,tt0065735
La generala,Movie,1971,Thriller,tt0065770
Assault on the Wayne,TV Movie,1971,Thriller,tt0065431
De kat met de negen staarten,Movie,1971,Thriller,tt0065761
Deadline,Movie,1971,Thriller,tt0065619
Dr. Cook's Garden,TV Movie,1971,Thriller,tt0065657
Santo contra los cazadores de cabezas,Movie,1971,Thriller,tt0060939
Love Toy,Movie,1971,Thriller,tt0063244
Exklusiv!,TV Episode,1971,Thriller,tt0064304
Xia nü,Movie,1971,Thriller,tt0064451
Senza via d'uscita,Movie,1971,Thriller,tt0065735
La generala,Movie,1971,Thriller,tt0065770
Assault on the Wayne,TV Movie,1971,Thriller,tt0065431
De kat met de negen staarten,Movie,1971,Thriller,tt0065761
Deadline,Movie,1971,Thriller,tt0065619
Dr. Cook's Garden,TV Movie,1971,Thriller,tt0065657
Santo contra los cazadores de cabezas,Movie,1971,Thriller,tt0060939
Love Toy,Movie,1971,Thriller,tt0063244
Exklusiv!,TV Episode,1971,Thriller,tt0064304
Xia nü,Movie,1971,Thriller,tt0064451
Senza via d'uscita,Movie,1971,Thriller,tt0065735
La generala,Movie,1971,Thriller,tt0065770
Assault on the Wayne,TV Movie,1971,Thriller,tt0065431
De kat met de negen staarten,Movie,1971,Thriller,tt0065761
Deadline,Movie,1971,Thriller,tt0065619
Dr. Cook's Garden,TV Movie,1971,Thriller,tt0065657
Santo contra los cazadores de cabezas,Movie,1971,Thriller,tt0060939
Love Toy,Movie,1971,Thriller,tt0063244
Exklusiv!,TV Episode,1971,Thriller,tt0064304
Xia nü,Movie,1971,Thriller,tt0064451
Senza via d'uscita,Movie,1971,Thriller,tt0065735
La generala,Movie,1971,Thriller,tt0065770
Assault on the Wayne,TV Movie,1971,Thriller,tt0065431
De kat met de negen staarten,Movie,1971,Thriller,tt0065761
Deadline,Movie,1971,Thriller,tt0065619
Dr. Cook's Garden,TV Movie,1971,Thriller,tt0065657
Cerco de terror,Movie,1972,Thriller,tt0064143
Sweet Kill,Movie,1972,Thriller,tt0065424
Out 1: Spectre,Movie,1972,Thriller,tt0066192
Alta tensión,Movie,1972,Thriller,tt0066756
Condenados a vivir,Movie,1972,Thriller,tt0066939
Doña Macabra,Movie,1972,Thriller,tt0067015
Crawlspace,TV Movie,1972,Thriller,tt0066954
Demons of the Mind,Movie,1972,Thriller,tt0066982
Endless Night,Movie,1972,Thriller,tt0067052
Alexander Zwo,TV Series,1972,Thriller,tt0068034
Cerco de terror,Movie,1972,Thriller,tt0064143
Sweet Kill,Movie,1972,Thriller,tt0065424
Out 1: Spectre,Movie,1972,Thriller,tt0066192
Alta tensión,Movie,1972,Thriller,tt0066756
Condenados a vivir,Movie,1972,Thriller,tt0066939
Doña Macabra,Movie,1972,Thriller,tt0067015
Crawlspace,TV Movie,1972,Thriller,tt0066954
Demons of the Mind,Movie,1972,Thriller,tt0066982
Endless Night,Movie,1972,Thriller,tt0067052
Alexander Zwo,TV Series,1972,Thriller,tt0068034
Cerco de terror,Movie,1972,Thriller,tt0064143
